market_name,month,uempl_rate
Canada,2020-01-01,0.055999999999999994
Canada,2020-02-01,0.057
Canada,2020-03-01,0.079
Canada,2020-04-01,0.131
Canada,2020-05-01,0.13699999999999998
Canada,2020-06-01,0.125
Canada,2020-07-01,0.109
Canada,2020-08-01,0.102
Canada,2020-09-01,0.092
Canada,2020-10-01,0.09
Canada,2020-11-01,0.086
Canada,2020-12-01,0.08800000000000001
Canada,2021-01-01,0.094
United States,2020-01-01,0.035
United States,2020-02-01,0.035
United States,2020-03-01,0.044000000000000004
United States,2020-04-01,0.14800000000000002
United States,2020-05-01,0.133
United States,2020-06-01,0.111
United States,2020-07-01,0.102
United States,2020-08-01,0.084
United States,2020-09-01,0.078
United States,2020-10-01,0.069
United States,2020-11-01,0.067
United States,2020-12-01,0.067
United States,2021-01-01,0.063
Mexico,2020-01-01,0.0365633205015577
Mexico,2020-02-01,0.0364463620818402
Mexico,2020-03-01,0.0323071411559783
Mexico,2020-04-01,0.048012667905866106
Mexico,2020-05-01,0.043473077696171696
Mexico,2020-06-01,0.0546177856770998
Mexico,2020-07-01,0.051206394672619206
Mexico,2020-08-01,0.049428152015115995
Mexico,2020-09-01,0.0471282423158794
Mexico,2020-10-01,0.046024096550788
Mexico,2020-11-01,0.0451286870758004
Mexico,2020-12-01,0.04249311807313869
United Kingdom,2020-01-01,0.0396121297
United Kingdom,2020-02-01,0.039724125959999995
United Kingdom,2020-03-01,0.03995073684
United Kingdom,2020-04-01,0.040548011349999996
United Kingdom,2020-05-01,0.040547109240000004
United Kingdom,2020-06-01,0.04252617639
United Kingdom,2020-07-01,0.04462406648
United Kingdom,2020-08-01,0.047568114179999996
United Kingdom,2020-09-01,0.04944242966
United Kingdom,2020-10-01,0.05038246663
United Kingdom,2020-11-01,0.05109323632
Australia,2020-01-01,0.05264596
Australia,2020-02-01,0.050777481
Australia,2020-03-01,0.052197897
Australia,2020-04-01,0.063538775
Australia,2020-05-01,0.070625548
Australia,2020-06-01,0.074354855
Australia,2020-07-01,0.07480890600000001
Australia,2020-08-01,0.068091005
Australia,2020-09-01,0.069148524
Australia,2020-10-01,0.069875142
Australia,2020-11-01,0.068252363
Australia,2020-12-01,0.065977377
